IPC Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
489A,Currency Related Offence,A person was caught printing fake ₹500 notes in the village—what IPC applies?,My uncle was arrested for making fake notes—what is the punishment?,What is the law if someone runs a fake currency racket?,Which IPC punishes people making counterfeit Indian currency?,Can IPC 489A apply if fake notes are printed using scanners?,My cousin was caught with a note-making machine—IPC 489A?,Is this section applicable for printing fake ₹2000 notes?,What IPC covers making photocopies of currency for fraud?,Can IPC 489A apply to those supplying materials for fake currency?,Does intent matter in counterfeiting currency notes?
489B,Currency Related Offence,Someone gave me a fake ₹200 note knowingly—what IPC section applies?,What IPC punishes use of forged notes as if genuine?,Can IPC 489B apply to shopkeeper who accepts and circulates fake notes?,My cousin knew his notes were fake but used them anyway—IPC?,Can IPC 489B apply in village bazaars and haats?,A boy was using scanned fake notes to buy snacks—what IPC?,Can someone be jailed under IPC 489B for using fake notes?,What IPC applies to people using fake notes during elections?,Does this section cover only Indian currency or foreign too?,How to report someone knowingly circulating fake currency?
489C,Currency Related Offence,What IPC punishes a person who keeps fake notes with intent to use?,My neighbor had a stash of fake ₹1000 notes—IPC 489C?,Can IPC 489C apply if someone carries counterfeit notes in wallet?,What IPC if someone is found with fake notes in school bag?,My uncle received fake notes and didn’t report—what IPC applies?,What is the punishment for possessing fake money?,Can IPC 489C be applied during police search seizures?,What if I unknowingly carried a fake note—does IPC 489C still apply?,Does IPC 489C apply to fake coins too?,Can I be jailed just for having a few fake notes?
489D,Currency Related Offence,Someone was found with printing plates to make currency—IPC?,What IPC applies to possession of fake currency-making equipment?,Can IPC 489D be applied if someone has paper used for fake notes?,My relative had ink and dies for making forged ₹500 notes—IPC?,Does IPC 489D cover tools used in rural currency scams?,Can owning rubber stamps for fake currency be punishable?,What IPC punishes those who prepare to make fake currency?,Someone had plastic stencils used in note duplication—IPC?,Can IPC 489D apply to mobile apps used to mimic notes?,What IPC punishes material suppliers for counterfeiting notes?
489E,Currency Related Offence,My cousin printed pamphlets looking like ₹200 notes—IPC?,What IPC punishes making leaflets that resemble currency notes?,Can IPC 489E apply to wedding cards that look like banknotes?,Someone used fake-looking notes for advertisement—IPC?,My neighbor distributed handbills printed as ₹10 notes—what law?,Can IPC 489E apply to marketing fake-note-like toys?,Is this section valid for shops using currency-looking vouchers?,What IPC punishes using printed currency-looking coupons?,Can IPC 489E apply to movie props looking like money?,What IPC covers making anything similar to real notes for fraud?
491,Criminal Breach of Contracts of Service,What law applies if my caretaker left my disabled father unattended?,Can IPC 491 apply if a servant fails to take care of elderly with agreement?,My maid agreed to look after my paralyzed mother but ran away—IPC?,Is it a crime to break service agreement for care of helpless person?,Does IPC 491 cover breach of duty to feed or bathe a dependent?,What IPC applies if nurse leaves patient alone in village hospital?,Can I complain under IPC 491 if a servant breaks trust of old-age care?,My driver had to take care of blind uncle but abandoned him—IPC?,Does IPC 491 apply if helper leaves small child at home unattended?,What punishment for neglecting helpless patient under signed contract?
493,Offences Relating to Marriage,What if a man lies about marriage to live with a woman—IPC 493?,A man in my village pretended to be married to cohabit—what IPC applies?,Is it punishable if man fakes marriage rituals to stay with woman?,Can IPC 493 apply in case of fake promises made to tribal women?,What IPC punishes men who lie about marriage to gain trust?,My cousin was tricked into living with a man who claimed to marry her—IPC?,Can IPC 493 apply in village settings with customary rituals?,What if man induced woman into cohabiting with false identity?,My sister was fooled by marriage promise—can I file IPC 493?,Does law punish men who fake marriage to live-in with girls?
494,Offences Relating to Marriage,What law applies if a person marries again while already married?,Is marrying twice without divorce illegal in India—IPC 494?,My uncle married a second woman without telling first wife—IPC?,What IPC punishes a person for bigamy?,Can IPC 494 apply in tribal customary marriages too?,What law covers second marriage without dissolving the first?,Is second marriage punishable under IPC if both marriages are registered?,My neighbor has two wives—can I report under IPC 494?,Can I file IPC 494 case without legal marriage documents?,What IPC applies if man marries another without wife’s knowledge?
495,Offences Relating to Marriage,What law if a man hides first marriage while marrying again?,My cousin married again without informing second wife—IPC 495?,Is it punishable to conceal earlier marriage during second wedding?,What IPC applies if husband lies about being single?,Does IPC 495 require intent to deceive in second marriage?,My friend’s second husband never told her about first wife—what IPC?,What punishment if man knowingly hides first wife from second?,Can IPC 495 be applied without marriage certificate?,My sister's husband is already married—IPC 495?,What IPC punishes concealment of previous marriage to remarry?
496,Offences Relating to Marriage,What law applies if fake marriage ceremony is done without legal marriage?,Is it a crime to do rituals without intent to legally marry?,Can IPC 496 be filed if man goes through wedding just to stay together?,My cousin was taken to a sham marriage—IPC?,What if someone performs marriage customs without intent to be bound?,Can village priests be charged under IPC 496 for fake ceremonies?,IPC 496 for forced symbolic marriage to avoid social pressure?,My sister was tricked into false marriage ceremony—what law applies?,Is marriage ceremony without registration punishable under IPC 496?,Can a fake temple marriage be considered IPC 496 offence?
497 (Struck Down*),Offences Relating to Marriage,Can a man be punished for having affair with married woman?,What law applies if someone had illicit relations with a married lady?,Is adultery still a criminal offence under IPC 497?,Can I file case if my wife ran away with another man—IPC?,What is the status of IPC 497 now?,Does Indian law punish adultery after Supreme Court ruling?,What IPC applies to extramarital affairs?,Can I still use IPC 497 to take legal action?,What if my wife is in relation with neighbor—IPC?,What happened to IPC 497 law?
