Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital Status,Religion,State,Education Required,Minority Status,For Orphans,Eligibility Summary
Marriage Assistance - Folk Artist,"Financial Assistance, Folk Artist, Marriage",Financial aid for marriage of folk artists or their children.,https://www.myschemes.gov.in/,18,40,Any,Any,"₹27,000–1 Lakh",Folk Artists / Children,No,Unmarried,Any,Tamil Nadu,None,No,No,Folk artists or their children in Tamil Nadu eligible for marriage assistance.
Patent Registration Subsidy,"Enterprise, IPR, MSME, Property, Subsidy",Subsidy for MSMEs for patent registration in India/Abroad.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,MSME Units,No,Any,Any,Tamil Nadu,None,No,No,Tamil Nadu-based MSMEs applying for patents eligible for registration subsidy.
New Entrepreneur-Cum-Enterprise Development Scheme (NEEDS),"Entrepreneur, Loan, MSME, NEEDS, Subsidy",Loans & subsidies for first-gen educated youth entrepreneurs.,https://www.myschemes.gov.in/,21,40,Any,Any,Any,First-gen Educated Youth Entrepreneurs,No,Any,Any,Tamil Nadu,Graduate+,No,No,First-generation educated youth (graduates) in Tamil Nadu eligible under NEEDS scheme.
Travel Concession for Differently Abled,"Differently Abled Persons, Tamil Nadu, Transport Corporation Bus, Travel",Travel concessions for differently-abled persons in state buses.,https://www.myschemes.gov.in/,5,None,Any,Any,Any,Differently-abled Persons,Yes,Any,Any,Tamil Nadu,None,No,No,Differently-abled individuals in Tamil Nadu eligible for travel concessions in state buses.
SME Exchange Fund Raising Subsidy,"Business, Enterprise, Fund, MSME, Subsidy",Subsidy for SMEs raising capital through SME Exchange IPOs.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,MSMEs listed on SME Exchange,No,Any,Any,Tamil Nadu,None,No,No,MSMEs in Tamil Nadu listed on SME Exchange IPOs eligible for fundraising subsidy.
Capital Subsidy for MSMEs,"Business, Enterprise, Industry, Machinery, Plant, Subsidy",25% subsidy on plant/machinery cost; higher for Women/SC/ST/Trans/Disabled entrepreneurs.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,MSMEs (Industrial Units),Any,Any,Any,Tamil Nadu,None,No,No,MSMEs in Tamil Nadu purchasing plant/machinery eligible for capital subsidy (enhanced for special groups).
Differently Abled Pension Scheme,"Clothes, Differently-abled, Financial Assistance, Meal, Pension, Ration","₹1,000 pension + festival benefits to disabled persons (≥40% disability).",https://www.myschemes.gov.in/,18,None,Any,Any,"₹27,000–1 Lakh",Persons with ≥40% Disability,Yes,Any,Any,Tamil Nadu,None,No,No,Disabled persons in Tamil Nadu with ≥40% disability eligible for pension and festival support.
Destitute/Deserted Wives Pension Scheme,"Deserted, Destitute, Divorced Woman, Pension","₹1,000 monthly pension + sarees for deserted/destitute wives.",https://www.myschemes.gov.in/,40,None,Female,Any,"₹27,000–1 Lakh",Destitute/Deserted/Divorced Women,No,Divorced,Any,Tamil Nadu,None,No,No,"Destitute, deserted, or divorced women in Tamil Nadu eligible for monthly pension and welfare aid."
Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme,"Inter-caste, Marriage, Financial Assistance",Marriage aid for SC/ST couples in inter-caste marriages.,https://www.myschemes.gov.in/,18,40,Any,SC,Any,SC/ST Inter-caste Couples,No,Married,Any,Tamil Nadu,12th Pass,No,No,SC/ST couples in inter-caste marriages in Tamil Nadu eligible for marriage assistance.
Government Service Home,"Shelter, Women, Girl, Food","Institutional care for widows, destitute women, deserted women, girls & differently-abled women.",https://www.myschemes.gov.in/,18,None,Female,Any,"₹27,000–1 Lakh",Destitute / Deserted / Differently-Abled Women,Any,Any,Any,Tamil Nadu,None,No,No,"Widows, destitute/deserted women, girls, and differently-abled women eligible for shelter and care in Tamil Nadu."
Kalai Nanmani Award,"Artist, Award, Culture","₹15,000 & certificate to eminent artists.",https://www.myschemes.gov.in/,35,None,Any,Any,Any,Eminent Artists,No,Any,Any,Tamil Nadu,None,No,No,Eminent artists in Tamil Nadu eligible for Kalai Nanmani Award and certificate of recognition.
Scholarship to Young Artists,"Artist, Scholarship, Student",Scholarships for Fine Arts students (Govt colleges).,https://www.myschemes.gov.in/,17,30,Any,Any,Any,Fine Arts Students,No,Any,Any,Tamil Nadu,12th Pass,No,No,Fine Arts students in government colleges of Tamil Nadu eligible for artist scholarship.
Kalai Mudhumani Award,"Artist, Award, Culture","₹20,000 & certificate to eminent artists.",https://www.myschemes.gov.in/,35,None,Any,Any,Any,Eminent Artists,No,Any,Any,Tamil Nadu,None,No,No,Eminent artists in Tamil Nadu eligible for Kalai Mudhumani Award.
Grant for Art Exhibitions (One-Man Shows),"Artist, Exhibition, Financial Assistance","₹25,000 for solo art exhibitions.",https://www.myschemes.gov.in/,21,None,Any,Any,Any,Visual Artists,No,Any,Any,Tamil Nadu,None,No,No,Artists organizing solo exhibitions in Tamil Nadu eligible for financial support.
Financial Aid to Indigent Artists,"Artist, Indigent, Financial Assistance","₹3,000 for indigent artists or dependents.",https://www.myschemes.gov.in/,40,None,Any,Any,"₹27,000–1 Lakh",Indigent Artists or Dependents,No,Any,Any,Tamil Nadu,None,No,No,"Economically weak artists or their dependents in Tamil Nadu eligible for ₹3,000 aid."
Kalai Valarmani Award,"Artist, Award, Culture","₹6,000 & certificate for artists.",https://www.myschemes.gov.in/,30,None,Any,Any,Any,Eminent Artists,No,Any,Any,Tamil Nadu,None,No,No,"Eminent artists in Tamil Nadu eligible for Kalai Valarmani Award with ₹6,000 & certificate."
Aid for New Drama Productions,"Artist, Drama, Production","₹20,000 grant for new Tamil drama productions.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Tamil Drama Troupes,No,Any,Any,Tamil Nadu,None,No,No,"Tamil drama troupes eligible for ₹20,000 grant for new productions."
Maintenance Allowance for Muscular Dystrophy,"Disability, Monthly Allowance, Muscular Dystrophy",Allowance for persons with muscular dystrophy.,https://www.myschemes.gov.in/,5,None,Any,Any,"₹27,000–1 Lakh",Persons with Muscular Dystrophy,Yes,Any,Any,Tamil Nadu,None,No,No,Tamil Nadu residents with muscular dystrophy eligible for monthly allowance.
Readers Allowance to Visually Impaired,"Differently-abled, Readers Allowance, Student",Reader allowance for visually impaired students (varies by level).,https://www.myschemes.gov.in/,13,30,Any,Any,Any,Visually Impaired Students,Yes,Any,Any,Tamil Nadu,10th Pass,No,No,Visually impaired students in Tamil Nadu eligible for reader allowance support.
Braille Watches Scheme,"Visually Impaired, Employee, Social Welfare",Free Braille watches for visually impaired employees.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Visually Impaired Employees,Yes,Any,Any,Tamil Nadu,None,No,No,Visually impaired workers in Tamil Nadu eligible for free Braille watches.
Walking Device Scheme,"Children, Disability, Orthopedically, Social Welfare",Walking aids for differently-abled children.,https://www.myschemes.gov.in/,5,18,Any,Any,Any,Orthopedically Disabled Children,Yes,Any,Any,Tamil Nadu,None,No,No,Orthopedically differently-abled children in Tamil Nadu eligible for walking aids.
Early Intervention Centre for Visually Impaired,"Education, Disability, Visually Impaired",Early intervention & education for visually impaired kids in 6 districts.,https://www.myschemes.gov.in/,0,6,Any,Any,Any,Visually Impaired Children,Yes,Any,Any,Tamil Nadu,None,No,No,Visually impaired children in 6 districts of Tamil Nadu eligible for early education & support.
Funeral Assistance for Folk Artists,"Artist, Funeral, Death Assistance",Funeral & death aid for registered folk artists.,https://www.myschemes.gov.in/,50,None,Any,Any,Any,Registered Folk Artists,No,Any,Any,Tamil Nadu,None,No,No,Registered folk artists in Tamil Nadu eligible for funeral assistance upon death.
Chief Minister Merit Award,"Education, Scholarship, SC/ST","₹3,000/year for SC/ST students excelling in Plus 2 exams (5 years).",https://www.myschemes.gov.in/,17,21,Any,SC,Any,SC/ST Students,No,Any,Any,Tamil Nadu,12th Pass,No,No,"SC/ST students in Tamil Nadu scoring well in Plus 2 exams eligible for ₹3,000/year merit award."
Plus One Admission for Adi Dravidar/Tribal,"Education, Tribal Welfare, Adi Dravidar",Plus One admission at reputed schools for top SC/ST students.,https://www.myschemes.gov.in/,15,17,Any,SC,Any,SC/ST Students,No,Any,Any,Tamil Nadu,10th Pass,No,No,SC/ST (Adi Dravidar/Tribal) students in Tamil Nadu eligible for Plus One admission in top schools.
IAS/IPS/IRS Exam Pre-Coaching Scheme,"Coaching, UPSC, Pre Exam Training","Free coaching, lodging, and boarding for SC/ST UPSC aspirants.",https://www.myschemes.gov.in/,21,35,Any,SC,Any,UPSC Aspirants (SC/ST),No,Any,Any,Tamil Nadu,Graduate+,No,No,SC/ST graduates from Tamil Nadu preparing for UPSC exams eligible for free coaching & stay.
Pre-Matric Scholarship Scheme,"Education, BC/MBC, Scholarship",Covers tuition & exam fees for BC/MBC students (6th–10th English medium).,https://www.myschemes.gov.in/,10,16,Any,OBC,"₹27,000–1 Lakh",BC/MBC School Students,No,Any,Any,Tamil Nadu,6th–10th Std,No,No,BC/MBC students (6th–10th) in English medium govt schools eligible for tuition + exam fee aid.
Assistance to Lawyers for Starting their Practice,"Lawyers, Tribal Welfare, Unemployment",Financial aid for SC/ST lawyers to start legal practice.,https://www.myschemes.gov.in/,22,35,Any,SC,Any,SC/ST Unemployed Lawyers,No,Any,Any,Tamil Nadu,Graduate+,No,No,Unemployed SC/ST law graduates in Tamil Nadu eligible for legal practice startup assistance.
Burial Grounds & Pathways,"Burial Ground, Tribal Welfare",Provides burial grounds and pathways for SC/ST communities.,https://www.myschemes.gov.in/,None,None,Any,SC,Any,SC/ST Community Members,No,Any,Any,Tamil Nadu,None,No,No,SC/ST communities in Tamil Nadu eligible for dedicated burial grounds and access pathways.
Interest-Free Loan (Large Sized Multi Purpose Cooperative Society),"Cooperative Society, Loan","Interest-free loans up to ₹45,000/- via cooperative societies.",https://www.myschemes.gov.in/,18,None,Any,Any,"₹27,000–1 Lakh",General Citizens (Co-op Society Members),No,Any,Any,Tamil Nadu,None,No,No,Members of large multipurpose cooperative societies in Tamil Nadu eligible for interest-free loans.
Employees Cooperative Societies Surety Loan,"Loan, Employees Cooperative Societies","Loans up to ₹1,50,000/- at 14% interest.",https://www.myschemes.gov.in/,18,60,Any,Any,Any,Government / Cooperative Employees,No,Any,Any,Tamil Nadu,None,No,No,Employees in cooperative societies in Tamil Nadu eligible for surety-based personal loan.
Revamped Micro Credit Loan (Women Vendors),"Women, Micro Credit, Vendors","Micro loans up to ₹5,000/- for women vegetable/fruit/flower vendors.",https://www.myschemes.gov.in/,18,None,Female,Any,"₹27,000–1 Lakh",Women Vegetable/Fruit/Flower Vendors,No,Any,Any,Tamil Nadu,None,No,No,"Women vendors in Tamil Nadu engaged in selling fruits, vegetables, or flowers eligible for micro loan."
Poultry & Cattle Development Loan,"Poultry, Cattle, Farmer, Loan","Loans for poultry (₹14,800) & cattle (₹17,000) with 14.5%–16.5% interest.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers engaged in poultry/cattle farming,No,Any,Any,Tamil Nadu,None,No,No,Farmers in Tamil Nadu involved in poultry or cattle activities eligible for development loans.
Jewel Loans for Farmers,"Jewel Loan, Farmer, Banking","Loans up to ₹2,00,000/- for agricultural purposes via gold pledge.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers,No,Any,Any,Tamil Nadu,None,No,No,Farmers in Tamil Nadu can avail loans up to ₹2 lakh against gold for agricultural activities.
Free Iron Boxes,"BC, MBC, DNC, Social Empowerment",Free iron boxes for washermen from BC/MBC/DNC communities.,https://www.myschemes.gov.in/,18,None,Any,OBC,"₹27,000–1 Lakh",Washermen from BC/MBC/DNC,No,Any,Any,Tamil Nadu,None,No,No,BC/MBC/DNC washermen in Tamil Nadu eligible for free iron boxes to support their livelihood.
Free House Sites,"BC, MBC, DNC, Social Empowerment",Free house sites for landless BC/MBC/DNC people.,https://www.myschemes.gov.in/,18,None,Any,OBC,"₹27,000–1 Lakh",Landless Individuals (BC/MBC/DNC),No,Any,Any,Tamil Nadu,None,No,No,Landless persons from BC/MBC/DNC communities in Tamil Nadu eligible for free housing sites.
Assistance for Delivery to Female Differently Abled,"Differently Abled, Female, Pregnancy",Financial help for delivery/miscarriage/termination of pregnancy.,https://www.myschemes.gov.in/,18,50,Female,Any,"₹27,000–1 Lakh",Differently-abled Pregnant Women,Yes,Married,Any,Tamil Nadu,None,No,No,Female differently-abled persons in Tamil Nadu eligible for financial assistance during pregnancy or related events.
Assistance for Spectacles (Differently Abled),"Differently Abled, Spectacles",Aid for purchase of spectacles by differently-abled individuals.,https://www.myschemes.gov.in/,5,None,Any,Any,"₹27,000–1 Lakh",Differently-abled Individuals,Yes,Any,Any,Tamil Nadu,None,No,No,Differently-abled individuals in Tamil Nadu eligible for financial aid for buying spectacles.
Promotion of Energy Audit (PEACE),"Energy, MSME, Audit",Detailed energy audits for MSMEs to improve energy usage.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,MSMEs,No,Any,Any,Tamil Nadu,None,No,No,MSMEs in Tamil Nadu can apply for energy audits under PEACE to improve energy efficiency.
Annal Ambedkar Business Champions Scheme (AABCS),"Entrepreneur, Loan, MSME, SC/ST, Subsidy",Loans + subsidy for SC/ST entrepreneurs under AABCS.,https://www.myschemes.gov.in/,18,45,Any,SC,"₹27,000–1 Lakh",SC/ST Entrepreneurs,No,Any,Any,Tamil Nadu,12th Pass,No,No,SC/ST youth entrepreneurs in Tamil Nadu eligible for loan and subsidy support under AABCS scheme.
Scholarship to Children of Differently Abled,"Scholarship, Differently Abled",Scholarships for children of differently-abled persons.,https://www.myschemes.gov.in/,6,18,Any,Any,"₹27,000–1 Lakh",Children of Differently-abled,No,Any,Any,Tamil Nadu,1st–12th Std,No,No,School-going children of differently-abled parents in Tamil Nadu eligible for educational scholarship.
TN Chief Minister’s Fellowship Programme,"Fellowship, Young Professional, Stipend",2-year fellowship for young professionals to support governance.,https://www.myschemes.gov.in/,18,35,Any,Any,Any,Graduates / Young Professionals,No,Any,Any,Tamil Nadu,Graduate+,No,No,Young graduates or professionals (age 18–35) in Tamil Nadu eligible for 2-year fellowship with stipend.
Chief Minister’s Solar Rooftop Capital Incentive,"Solar, Renewable Energy, Subsidy","₹20,000 per kW subsidy for solar rooftop systems.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Domestic Households,No,Any,Any,Tamil Nadu,None,No,No,"Tamil Nadu domestic households installing rooftop solar systems are eligible for ₹20,000/kW subsidy."
Back Ended Interest Subsidy (BEIS),"MSME, Interest, Loan, Subsidy",Interest subsidy for micro/small manufacturing MSMEs.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Micro/Small Manufacturing MSMEs,No,Any,Any,Tamil Nadu,None,No,No,Tamil Nadu-based micro/small manufacturing MSMEs eligible for interest subsidy under BEIS.
